# SS10DB 주요 테이블 목록 (SS10 / SONESP / WMS)
이 자료는 신성통상 메인 DB (SS10DB)의 주요 스키마 테이블 목록을 추출한 것입니다.

| OWNER | TABLE_NAME | NUM_ROWS | TABLE_TYPE | COMMENTS |
| SONESP | CT_ESTM_EXPORT | 0 | TABLE |  |
| SONESP | CT_ESTM_PCOST_DETL | 0 | TABLE |  |
| SONESP | CT_ESTM_PCOST_DETL_TEMP | 0 | TABLE |  |
| SONESP | CT_ESTM_PCOST_FBR_CONST | 0 | TABLE |  |
| SONESP | CT_ESTM_PCOST_FBR_CONST_TEMP | 0 | TABLE |  |
| SONESP | CT_ESTM_PCOST_HDR | 0 | TABLE |  |
| SONESP | CT_ESTM_PCOST_HDR_TEMP | 0 | TABLE |  |
| SONESP | CT_ESTM_PCOST_REMARK | 0 | TABLE |  |
| SONESP | CT_ETLCLM_HDR | 0 | TABLE |  |
| SONESP | CT_EXP_BL_DTL | 0 | TABLE |  |
| SONESP | CT_EXP_BL_DTL_X | 0 | TABLE |  |
| SONESP | CT_EXP_BL_HDR | 0 | TABLE |  |
| SONESP | CT_EXP_IV_DTL | 0 | TABLE |  |
| SONESP | CT_EXP_IV_HDR | 0 | TABLE |  |
| SONESP | CT_EXP_TRANS | 0 | TABLE |  |
| SONESP | CT_FABRIC_FQA | 0 | TABLE |  |
| SONESP | CT_FABRIC_FQA_A | 0 | TABLE |  |
| SONESP | CT_FABRIC_FQA_B | 0 | TABLE |  |
| SONESP | CT_FABRIC_FQA_C | 0 | TABLE |  |
| SONESP | CT_FABRIC_FQA_D | 0 | TABLE |  |
| SONESP | CT_FABRIC_FQA_O | 0 | TABLE |  |
| SONESP | CT_FABRIC_FQA_PHOTO | 0 | TABLE |  |
| SONESP | CT_FABRIC_FQA_X | 0 | TABLE |  |
| SONESP | CT_FBR_GRP_CONN | 0 | TABLE |  |
| SONESP | CT_FBR_GRP_CONN_TEMP | 0 | TABLE |  |
| SONESP | CT_FBR_PCH_ASK_DETL | 0 | TABLE |  |
| SONESP | CT_FBR_PCH_ASK_DETL_TEMP | 0 | TABLE |  |
| SONESP | CT_FBR_PCH_ASK_HDR | 0 | TABLE |  |
| SONESP | CT_FBR_PCH_ASK_SPEC | 0 | TABLE |  |
| SONESP | CT_FBR_PRORD | 0 | TABLE |  |
| SONESP | CT_FBR_PRORD_COLRREQMT | 0 | TABLE |  |
| SONESP | CT_FBR_PRORD_COLRREQMT_TEMP | 0 | TABLE |  |
| SONESP | CT_FBR_PRORD_PRSS | 0 | TABLE |  |
| SONESP | CT_FBR_PRORD_PRSS_TEMP | 0 | TABLE |  |
| SONESP | CT_FBR_PRORD_TEMP | 0 | TABLE |  |
| SONESP | CT_FBR_PRORD_YARN | 0 | TABLE |  |
| SONESP | CT_FBR_PRORD_YARN_TEMP | 0 | TABLE |  |
| SONESP | CT_FBR_PRORD_YOKO | 0 | TABLE |  |
| SONESP | CT_FBR_PRORD_YRN_DING | 0 | TABLE |  |
| SONESP | CT_FBR_PRORD_YRN_DING_TEMP | 0 | TABLE |  |
| SONESP | CT_FBR_PRSS_PCH_ASK_CONN | 0 | TABLE |  |
| SONESP | CT_FILE_PL_DATA | 0 | TABLE |  |
| SONESP | CT_FILE_STYLE | 0 | TABLE |  |
| SONESP | CT_FILE_STYLE_SUBPRO | 0 | TABLE |  |
| SONESP | CT_FILE_STYLE_SUBPRO_M | 0 | TABLE |  |
| SONESP | CT_FILE_STYLE_SUBPRO_M_X | 0 | TABLE |  |
| SONESP | CT_FILE_STYLE_SUBPRO_M_X1 | 0 | TABLE |  |
| SONESP | CT_FILE_STYLE_SUBPRO_M_X12 | 0 | TABLE |  |
| SONESP | CT_FILE_STYLE_SUBPRO_M_X123 | 0 | TABLE |  |
| SONESP | CT_FIRST_SALE_DOWN | 0 | TABLE |  |
| SONESP | CT_FIRST_SALE_UP | 0 | TABLE |  |
| SONESP | CT_FIXED_RATE_FILE | 0 | TABLE |  |
| SONESP | CT_GARMENT_DTL_FILE | 0 | TABLE |  |
| SONESP | CT_GARMENT_DTL_IMPT | 0 | TABLE |  |
| SONESP | CT_GARMENT_HDR | 0 | TABLE |  |
| SONESP | CT_GARMENT_SLIP | 0 | TABLE |  |
| SONESP | CT_HANDCARRY_REQ | 0 | TABLE |  |
| SONESP | CT_IMP_CSTMS | 0 | TABLE |  |
| SONESP | CT_IMP_CSTMS_DETL_T | 0 | TABLE |  |
| SONESP | CT_IMP_CSTMS_T | 0 | TABLE |  |
| SONESP | CT_IMP_DCLR_DETL | 0 | TABLE |  |
| SONESP | CT_IMP_DCLR_HDR | 0 | TABLE |  |
| SONESP | CT_IMP_SETTLE | 0 | TABLE |  |
| SONESP | CT_IMP_SUSPENSE | 0 | TABLE |  |
| SONESP | CT_INSP_REQ | 0 | TABLE |  |
| SONESP | CT_LC_NTC_BL | 0 | TABLE |  |
| SONESP | CT_LC_NTC_DETL | 0 | TABLE |  |
| SONESP | CT_LC_NTC_ETC | 0 | TABLE |  |
| SONESP | CT_LC_NTC_HDR | 0 | TABLE |  |
| SONESP | CT_MAT_CSUM_DETL | 0 | TABLE |  |
| SONESP | CT_MAT_CSUM_HDR | 0 | TABLE |  |
| SONESP | CT_MAT_LOSS_DETL | 0 | TABLE |  |
| SONESP | CT_MAT_LOSS_HDR | 0 | TABLE |  |
| SONESP | CT_MAT_MISMATCH_HIST | 0 | TABLE |  |
| SONESP | CT_MAT_MQTY_MNG | 0 | TABLE |  |
| SONESP | CT_MAT_MQTY_MNG_X | 0 | TABLE |  |
| SONESP | CT_MAT_ORDER_CNSTR | 0 | TABLE |  |
| SONESP | CT_MAT_ORDER_CNSTR_HIST | 0 | TABLE |  |
| SONESP | CT_MAT_ORDER_DETL | 0 | TABLE |  |
| SONESP | CT_MAT_ORDER_DETL_HIST | 0 | TABLE |  |
| SONESP | CT_MAT_ORDER_DETL_TEMP | 0 | TABLE |  |
| SONESP | CT_MAT_ORDER_FLAT_FBR | 0 | TABLE |  |
| SONESP | CT_MAT_ORDER_FLAT_FBR_HIST | 0 | TABLE |  |
| SONESP | CT_MAT_ORDER_FLAT_QTY | 0 | TABLE |  |
| SONESP | CT_MAT_ORDER_FLAT_QTY_HIST | 0 | TABLE |  |
| SONESP | CT_MAT_ORDER_FLAT_SIZE | 0 | TABLE |  |
| SONESP | CT_MAT_ORDER_FLAT_SIZE_HIST | 0 | TABLE |  |
