
=========================================
 Sheet: 기준정보-주요테이블명세
=========================================
R03:  |  | ■ | FONE 정리 기준 |  |  |  | ■ | FONE 주요/참조 테이블 목록 |  |  |  | ■ | AONE 정리 기준 |  |  |  | ■ | AONE 주요/참조 테이블 목록 | 
R44:  |  |  | UPT_DAY | VARCHAR2 (14 Byte) | Y |  |  | 수정일시 |  |  |  |  | UPT_DAY | VARCHAR2 (14 Byte) | Y |  |  | 수정일시 | 
R45:  |  |  | UPT_USERID | VARCHAR2 (20 Byte) | Y |  |  | 수정자ID |  |  |  |  | UPT_USERID | VARCHAR2 (20 Byte) | Y |  |  | 수정자ID | 
R46:  |  |  | DEL_DAY | VARCHAR2 (14 Byte) | Y |  |  | 삭제일시 |  |  |  |  | DEL_DAY | VARCHAR2 (14 Byte) | Y |  |  | 삭제일시 | 
R47:  |  |  | DEL_USERID | VARCHAR2 (20 Byte) | Y |  |  | 삭제자ID |  |  |  |  | DEL_USERID | VARCHAR2 (20 Byte) | Y |  |  | 삭제자ID | 
R48:  |  |  | ATTR1 | VARCHAR2 (200 Byte) | Y |  |  | 일 점간이동 제한 수 |  |  |  |  | ATTR1 | VARCHAR2 (200 Byte) | Y |  |  | 일 점간이동 제한 수 | 
R49:  |  |  | ATTR2 | VARCHAR2 (200 Byte) | Y |  |  | 브랜드회계맵핑코드 |  |  |  |  | ATTR2 | VARCHAR2 (200 Byte) | Y |  |  | 브랜드회계맵핑코드 | 
R50:  |  |  | ATTR3 | VARCHAR2 (200 Byte) | Y |  |  | 매출국가:S1100 |  |  |  |  | ATTR3 | VARCHAR2 (200 Byte) | Y |  |  |  | 
R51:  |  |  | ATTR4 | VARCHAR2 (200 Byte) | Y |  |  |  |  |  |  |  | ATTR4 | VARCHAR2 (200 Byte) | Y |  |  |  | 
R52:  |  |  | ATTR5 | VARCHAR2 (200 Byte) | Y |  |  | 자회사 브랜드 여부 (Y) |  |  |  |  | ATTR5 | VARCHAR2 (200 Byte) | Y |  |  | 자회사 브랜드 여부 (Y) | 
R53:  |  |  | ONLINE_PARTNER_NO | NUMBER | Y |  |  |  |  |  |  |  | ONLINE_PARTNER_NO | NUMBER | Y |  |  |  | 
R54:  |  |  | KONE_BANK_CODE | VARCHAR2 (5 Byte) | Y |  |  |  |  |  |  |  | FILENO_BUYER_CD | VARCHAR2 (2 Byte) | Y |  |  | 파일넘버 자동생성 바이어코드 | 
R55:  |  |  | FILENO_BUYER_CD | VARCHAR2 (2 Byte) | Y |  |  | 파일넘버 자동생성 바이어코드 |  |  |  |  | KONE_BANK_CODE | VARCHAR2 (5 Byte) | Y |  |  |  | 
R56:  |  |  | BRD_GRP_TA | VARCHAR2 (20 Byte) | Y |  |  | 브랜드그룹(태블로) |  |  |  |  | BRD_GRP_TA | VARCHAR2 (20 Byte) | Y | 추가 고려 |  | 브랜드그룹(태블로) | 
R57:  |  |  | BRD_GRP_ON | VARCHAR2 (20 Byte) | Y | 추가 고려 |  | 브랜드그룹(온라인) |  |  |  |  | BRD_GRP_ON | VARCHAR2 (20 Byte) | Y | 추가 고려 |  | 브랜드그룹(온라인) | 
R58:  |  |  | BRD_GRP_HQ | VARCHAR2 (20 Byte) | Y | 추가 고려 |  | 브랜드그룹(사업본부) |  |  |  |  | BRD_GRP_HQ | VARCHAR2 (20 Byte) | Y | 추가 고려 |  | 브랜드그룹(사업본부) | 
R59:  |  |  | BRD_GRP_WH | VARCHAR2 (20 Byte) | Y | 추가 고려 |  | 브랜드그룹(물류) |  |  |  |  | BRD_GRP_WH | VARCHAR2 (20 Byte) | Y | 추가 고려 |  | 브랜드그룹(물류) | 
R61:  |  |  | [매장 T_SHOP] |  |  |  |  |  |  |  |  |  | [매장 T_SHOP] |  |  |  |  |  | 
R62:  |  |  | 컬럼명 | 데이터 타입 | 널 여부 | 기본값 | PK | 설명 |  |  |  |  | 컬럼명 | 데이터 타입 | 널 여부 | 기본값 | PK | 설명 | 
R63:  |  |  | SHOP_ID | VARCHAR2 (6 Byte) |  |  | 1 | 매장ID |  |  |  |  | SHOP_ID | VARCHAR2 (6 Byte) | N |  | 1 | 매장ID | 
R64:  |  |  | SHOP_NM | VARCHAR2 (50 Byte) |  |  |  | 매장명 |  |  |  |  | SHOP_NM | VARCHAR2 (50 Byte) | N |  |  | 매장명 | 
R65:  |  |  | INS_DAY | VARCHAR2 (14 Byte) |  | TO_CHAR (SYSDATE, 'YYYYMMDDHH24MISS') |  | 등록일시 |  |  |  |  | INS_DAY | VARCHAR2 (14 Byte) | N | TO_CHAR (SYSDATE, 'YYYYMMDDHH24MISS') |  | 등록일시 | 
R66:  |  |  | INS_USERID | VARCHAR2 (20 Byte) |  |  |  | 등록자ID |  |  |  |  | INS_USERID | VARCHAR2 (20 Byte) | N |  |  | 등록자ID | 
R67:  |  |  | UPT_DAY | VARCHAR2 (14 Byte) | Y |  |  | 수정일시 |  |  |  |  | UPT_DAY | VARCHAR2 (14 Byte) | Y |  |  | 수정일시 | 
R68:  |  |  | UPT_USERID | VARCHAR2 (20 Byte) | Y |  |  | 수정자ID |  |  |  |  | UPT_USERID | VARCHAR2 (20 Byte) | Y |  |  | 수정자ID | 
R69:  |  |  | INFMT_SHOP_NM | VARCHAR2 (50 Byte) |  |  |  | 약식매장명 |  |  |  |  | INFMT_SHOP_NM | VARCHAR2 (50 Byte) | N |  |  | 약식매장명 | 
R70:  |  |  | REPR_NM | VARCHAR2 (50 Byte) |  |  |  | 대표자명 |  |  |  |  | REPR_NM | VARCHAR2 (50 Byte) | N |  |  | 대표자명 | 
R71:  |  |  | REPR_RESNO | VARCHAR2 (100 Byte) | Y |  |  | 대표자주민번호 |  |  |  |  | REPR_RESNO | VARCHAR2 (100 Byte) | Y |  |  | 대표자주민번호 | 
