□ 작업지시등록 메인,,,,,,,,,
분할입고,T_WORK_INDC,PARTT_STOR_YN,VARCHAR2(1),,Radio,O,Y,,
소재타입,T_PRDT_PROP,FABRIC_TYPE,VARCHAR2(20),,ComboBox,O,Y,,
컬러타입,T_PRDT_PROP,COLOR_TYPE,VARCHAR2(20),,ComboBox,O,Y,,
핏,T_PRDT_PROP,FIT,VARCHAR2(20),Y,ComboBox,O,Y,,
런칭일자,T_PRDT_PLAN,ESTM_SALE_START_DT,VARCHAR2(8),,EditDate,O,Y,,
판매주수,T_PRDT_PLAN,ESTM_SALE_TERM,NUMBER,,EditText,X,Y, OZ상품기획팀 - 김수민 대리 24년 1번 등록,"관련 컬럼 사용 SP 1개 존재하나 소스상 T_JOB_LOG로 기록하는 로직이 있지만 로그가 쌓이지 않는 것 보면 미사용으로 판단됨.
SELECT * FROM T_JOB_LOG
WHERE JOB_NO LIKE '%XY_SPR_AUTO_RET_TARGET%'    "
판매마감일,T_PRDT_PLAN,ESTM_SALE_END_DT,VARCHAR2(8),,EditDate,X,Y,,
기간목표판매율,T_PRDT_PLAN,GOAL_SALE_RATE,NUMBER,,EditText,X,Y, 80을 기본 값으로 저장.,
,,,,,,,,,
□ 자재정보-원자재정보,,,,,,,,,
파트구분,T_MAT_MATSY_INFO,FBR_PART_CLSBY_CD,VARCHAR2(20),,ComboBox,O,Y,,
파트매핑코드,T_MAT_MATSY_INFO,FBR_PART_MAPP_CLSBY_CD,VARCHAR2(20),,ComboBox,O,Y,,
명칭,T_MAT_MATSY_INFO,MAT_MEMO,VARCHAR2(500),,EditText,O,Y,,
혼용률정보,T_MAT_MATSY_INFO,MIX_RATE,VARCHAR2(200),,EditText,O,Y,,
자재ID,T_MAT_MATSY_INFO,MAT_ID,VARCHAR2(20),,DataDic,O,Y,,
규격(폭/밀도),T_MAT_MATSY_INFO,STND,VARCHAR2(20),,EditText,O,Y,,
요척,T_MAT_MATSY_INFO,REAL_UQOF,VARCHAR2(20),,EditText,O,Y,,
단위,T_MAT_MATSY_INFO,UNIT,VARCHAR2(20),,ComboBox,O,Y,,
단가,T_MAT_MATSY_INFO,MAT_UPRICE,NUMBER,,EditText,O,Y,,
자재구매업체,T_MAT_MATSY_INFO,MFAC_BUY_PARTY_ID,NUMBER,,DataDic,O,Y,,
비고,T_MAT_MATSY_INFO,MAT_RMK,VARCHAR2(500),,EditText,O,Y,,
,,,,,,,,,
□ 자재정보-부자재정보,,,,,,,,,
자재종류,T_MAT_MATSY_INFO,MAT_KIND,VARCHAR2(200),,ComboBox,O,Y,,
부자재분류(대),T_MAT_MATSY_INFO,MAT_CLSBY_B_CD,VARCHAR2(20),,ComboBox,O,Y,,
부자재분류(소),T_MAT_MATSY_INFO,MAT_CLSBY_S_CD,VARCHAR2(20),,ComboBox,O,Y,,
명칭,T_MAT_MATSY_INFO,MAT_MEMO,VARCHAR2(500),,EditText,O,Y,,
자재BOOK코드,T_MAT_MATSY_INFO,MAT_BOOK_CD,VARCHAR2(20),,DataDic,O,Y,,
자재ID,T_MAT_MATSY_INFO,MAT_ID,VARCHAR2(20),,DataDic,O,Y,,
